matrix_id,candidate_id,vector,support,support_size,extended_support,extended_support_size,multiplier,is_ess,reason_ess,payoff,payoff_double
23,10,"7/66,0,10/33,0,7/66,0,0,0,8/33,0,8/33,0,0,0",1301,5,1301,5,14,True,T_pd_dbl,85/33,2.575758
24,1,"55/1103,155/1103,221/1103,241/1103,221/1103,155/1103,55/1103,0,0,0,0,0,0,0,0",127,7,127,7,15,True,T_pd_dbl,7318/1103,6.634633
24,2,"241/1103,155/1103,221/1103,55/1103,221/1103,0,55/1103,0,155/1103,0,0,0,0,0,0",351,7,351,7,30,True,T_pd_dbl,7318/1103,6.634633
24,3,"221/1103,55/1103,155/1103,0,241/1103,0,155/1103,55/1103,221/1103,0,0,0,0,0,0",471,7,471,7,15,True,T_pd_dbl,7318/1103,6.634633
24,4,"55/1103,221/1103,221/1103,241/1103,155/1103,155/1103,0,0,0,55/1103,0,0,0,0,0",575,7,575,7,30,True,T_pd_dbl,7318/1103,6.634633
24,5,"241/1103,221/1103,221/1103,55/1103,155/1103,0,0,0,155/1103,55/1103,0,0,0,0,0",799,7,799,7,30,True,T_pd_dbl,7318/1103,6.634633
24,6,"221/1103,241/1103,155/1103,0,55/1103,0,0,55/1103,221/1103,155/1103,0,0,0,0,0",919,7,919,7,30,True,T_pd_dbl,7318/1103,6.634633
24,7,"55/1103,0,221/1103,55/1103,221/1103,0,241/1103,0,155/1103,0,155/1103,0,0,0,0",1373,7,1373,7,30,True,T_pd_dbl,7318/1103,6.634633
24,8,"55/1103,221/1103,221/1103,55/1103,0,0,0,0,155/1103,241/1103,155/1103,0,0,0,0",1807,7,1807,7,15,True,T_pd_dbl,7318/1103,6.634633
24,9,"155/1103,0,55/1103,221/1103,221/1103,55/1103,0,155/1103,0,0,0,241/1103,0,0,0",2237,7,2237,7,15,True,T_pd_dbl,7318/1103,6.634633
24,10,"221/1103,155/1103,241/1103,155/1103,221/1103,0,0,0,55/1103,0,0,55/1103,0,0,0",2335,7,2335,7,15,True,T_pd_dbl,7318/1103,6.634633
24,11,"221/1103,0,55/1103,155/1103,221/1103,0,0,155/1103,55/1103,0,0,241/1103,0,0,0",2461,7,2461,7,30,True,T_pd_dbl,7318/1103,6.634633
24,12,"221/1103,0,55/1103,0,221/1103,0,155/1103,155/1103,241/1103,0,0,55/1103,0,0,0",2517,7,2517,7,30,True,T_pd_dbl,7318/1103,6.634633
24,13,"221/1103,55/1103,0,0,55/1103,0,0,241/1103,221/1103,155/1103,0,155/1103,0,0,0",2963,7,2963,7,30,True,T_pd_dbl,7318/1103,6.634633
24,14,"155/1103,155/1103,0,0,0,55/1103,0,221/1103,241/1103,221/1103,0,55/1103,0,0,0",2979,7,2979,7,15,True,T_pd_dbl,7318/1103,6.634633
24,15,"55/1103,221/1103,0,0,155/1103,155/1103,0,0,221/1103,55/1103,0,0,241/1103,0,0",4915,7,4915,7,15,True,T_pd_dbl,7318/1103,6.634633
24,16,"55/1103,0,155/1103,0,221/1103,0,241/1103,0,221/1103,0,155/1103,0,55/1103,0,0",5461,7,5461,7,15,True,T_pd_dbl,7318/1103,6.634633
25,1,"11/164,29/164,21/82,21/82,29/164,11/164,0,0,0,0,0,0,0,0,0,0",63,6,63,6,16,True,T_pd_dbl,741/164,4.518293
25,2,"29/164,21/82,21/82,29/164,11/164,0,0,11/164,0,0,0,0,0,0,0,0",159,6,159,6,32,True,T_pd_dbl,741/164,4.518293
25,3,"21/82,21/82,29/164,11/164,0,0,11/164,29/164,0,0,0,0,0,0,0,0",207,6,207,6,32,True,T_pd_dbl,741/164,4.518293
25,4,"21/82,29/164,11/164,0,0,11/164,29/164,21/82,0,0,0,0,0,0,0,0",231,6,231,6,16,True,T_pd_dbl,741/164,4.518293
25,5,"11/164,0,21/82,21/82,29/164,11/164,0,0,0,29/164,0,0,0,0,0,0",573,6,573,6,32,True,T_pd_dbl,741/164,4.518293
25,6,"29/164,0,21/82,29/164,11/164,0,0,11/164,0,21/82,0,0,0,0,0,0",669,6,669,6,32,True,T_pd_dbl,741/164,4.518293
25,7,"21/82,0,29/164,11/164,0,0,11/164,29/164,0,21/82,0,0,0,0,0,0",717,6,717,6,16,True,T_pd_dbl,741/164,4.518293
25,8,"11/164,29/164,0,21/82,29/164,11/164,0,0,0,0,21/82,0,0,0,0,0",1083,6,1083,6,32,True,T_pd_dbl,741/164,4.518293
25,9,"29/164,21/82,0,29/164,11/164,0,0,11/164,0,0,21/82,0,0,0,0,0",1179,6,1179,6,32,True,T_pd_dbl,741/164,4.518293
25,10,"21/82,21/82,0,11/164,0,0,11/164,29/164,0,0,29/164,0,0,0,0,0",1227,6,1227,6,32,True,T_pd_dbl,741/164,4.518293
25,11,"21/82,29/164,0,0,0,11/164,29/164,21/82,0,0,11/164,0,0,0,0,0",1251,6,1251,6,32,True,T_pd_dbl,741/164,4.518293
25,12,"29/164,21/82,21/82,0,11/164,0,0,11/164,0,0,0,29/164,0,0,0,0",2199,6,2199,6,32,True,T_pd_dbl,741/164,4.518293
25,13,"21/82,21/82,29/164,0,0,0,11/164,29/164,0,0,0,11/164,0,0,0,0",2247,6,2247,6,32,True,T_pd_dbl,741/164,4.518293
25,14,"11/164,0,0,0,29/164,21/82,21/82,29/164,0,0,0,11/164,0,0,0,0",2289,6,2289,6,16,True,T_pd_dbl,741/164,4.518293
25,15,"11/164,0,21/82,0,29/164,11/164,0,0,0,29/164,0,21/82,0,0,0,0",2613,6,2613,6,32,True,T_pd_dbl,741/164,4.518293
